港島東,鰂魚涌,太古城 高山台 廬山閣 高層 F室,N/A,23/07/2024,2房,"$24,000",589 呎,$41,N/A
港島東,鰂魚涌,太古城 金殿臺 夏宮閣 低層 E室,N/A,23/07/2024,3房,"$26,000",702 呎,$37,N/A
港島東,鰂魚涌,太古城 金殿臺 燕宮閣 6樓 C室,N/A,22/07/2024,3房,"$1,018 萬",785 呎,"$12,968",N/A
港島東,鰂魚涌,嘉亨灣 1座 高層 A室,N/A,22/07/2024,3房,"$34,000",658 呎,$52,N/A
港島東,鰂魚涌,太古城 安盛台 順安閣 中層 C室,N/A,22/07/2024,2房,"$25,000",580 呎,$43,N/A
港島東,鰂魚涌,寶利大廈 7樓 3室,N/A,22/07/2024,-,$268 萬,352 呎,"$7,614",N/A
港島東,鰂魚涌,康怡花園 N座 23樓 8室,N/A,22/07/2024,2房,$705 萬,490 呎,"$14,388",N/A
港島東,鰂魚涌,太古城 海天花園 冠天閣 中層 D室,N/A,22/07/2024,3房,"$28,500",714 呎,$40,N/A
港島東,鰂魚涌,太古城 高山台 金山閣 15樓 H室,N/A,19/07/2024,2房,$728 萬,593 呎,"$12,277",N/A
港島東,鰂魚涌,嘉亨灣 5座 中層 B室,N/A,19/07/2024,3房,"$36,000",749 呎,$48,N/A
港島東,鰂魚涌,嘉亨灣 5座 中層 B室,N/A,19/07/2024,3房,"$36,000",749 呎,$48,N/A
港島東,鰂魚涌,康怡花園 Q座 高層 8室,N/A,19/07/2024,3房,"$26,000",616 呎,$42,N/A
港島東,鰂魚涌,康怡花園 E座 9樓 7室,N/A,18/07/2024,2房,$642 萬,529 呎,"$12,136",N/A
港島東,鰂魚涌,太古城 海景花園(東) 海棠閣 低層 A室,N/A,18/07/2024,3房,"$43,000","1,114 呎",$39,N/A
港島東,鰂魚涌,益昌大廈 12樓 18室,N/A,18/07/2024,-,$259 萬,301 呎,"$8,605",N/A
港島東,鰂魚涌,嘉亨灣 2座 中層 H室,N/A,18/07/2024,2房,"$22,000",490 呎,$45,N/A
港島東,鰂魚涌,嘉亨灣 6座 37樓 G室,N/A,18/07/2024,2房,$874 萬,508 呎,"$17,205",露台 | | 工作平台
港島東,鰂魚涌,康蕙花園 1座 中層 A室,N/A,18/07/2024,3房,"$24,000",604 呎,$40,N/A
港島東,鰂魚涌,太古城 海天花園 冠天閣 低層 E室,N/A,18/07/2024,3房,"$30,500",714 呎,$43,N/A
港島東,鰂魚涌,太古城 金殿臺 隋宮閣 高層 G室,N/A,18/07/2024,3房,"$27,000",716 呎,$38,N/A
港島東,鰂魚涌,康山花園 2座 9樓 G室,N/A,17/07/2024,3房,$570 萬,592 呎,"$9,628",N/A
